rid,datetime,host,src,proto,type,spt,dpt,srcstr,cc,country,locale,latitude,longitude,Label
157.240.2.36-10.42.0.211-443-32813-6,03-03-13 22:19,groucho-norcal,3672981807,TCP,Financial,33367,22,218.237.65.47,KR,South Korea,Seoul,37.4906,127.02,0
10.42.0.151-10.42.0.1-12291-53-17,03-03-13 22:20,groucho-us-east,3672981807,TCP,Telecoms,33367,22,218.237.65.47,KR,South Korea,Seoul,37.4906,127.02,0
156.154.200.36-10.42.0.211-443-36404-6,03-03-13 22:21,groucho-eu,3672981807,TCP,Political,33367,22,218.237.65.47,KR,South Korea,Seoul,37.4906,127.02,0
10.42.0.1-10.42.0.42-53-35050-17,03-03-13 22:21,groucho-sydney,3672981807,TCP,Hotel,33367,22,218.237.65.47,KR,South Korea,Seoul,37.4906,127.02,0
162.208.22.39-10.42.0.211-443-57667-6,03-03-13 22:23,groucho-oregon,2382398543,TCP,Retail,6000,1433,142.0.132.79,US,United States,California,37.3495,-122.1163,0
180.149.136.194-10.42.0.211-80-52226-6,03-03-13 22:26,groucho-tokyo,1965603898,TCP,Media,26180,1433,117.40.188.58,CN,China,Jiangxi Sheng,28.55,115.9333,1
10.42.0.211-77.234.44.199-51601-80-6,03-03-13 22:29,groucho-eu,3683780686,UDP,"Web,Tech",54790,5060,219.146.8.78,CN,China,Shandong Sheng,36.6683,116.9972,1
10.42.0.151-119.146.74.33-41908-443-6,03-03-13 22:29,groucho-oregon,840591020,TCP,Fashion,2712,23,50.26.102.172,US,United States,Texas,35.1613,-101.879,0
10.42.0.151-104.244.43.99-50129-443-6,03-03-13 22:35,groucho-oregon,2945182618,TCP,Question & Answer,48754,23,175.139.235.154,MY,Malaysia,Selangor,3.0833,101.65,0
175.100.207.233-10.42.0.211-80-47310-6,03-03-13 22:38,groucho-tokyo,621360428,TCP,"Government, Database",45855,5900,37.9.53.44,RU,Russia,St.-Petersburg,59.8944,30.2642,0
10.42.0.211-54.192.36.221-37415-443-6,03-03-13 22:40,groucho-tokyo,3305593070,TCP,Ticket Distribution,3009,445,197.7.88.238,TN,Tunisia,,34,9,1
157.240.3.19-10.42.0.211-443-35046-6,03-03-13 22:40,groucho-tokyo,3305593070,TCP,Consumer Goods,3009,445,197.7.88.238,TN,Tunisia,,34,9,1
10.42.0.42-85.93.5.109-48953-80-6,03-03-13 22:41,groucho-tokyo,3019952728,TCP,Military,3303,445,180.0.210.88,JP,Japan,Tokyo-to,35.685,139.7514,1
10.42.0.151-69.147.82.60-56405-443-6,03-03-13 22:41,groucho-tokyo,3019952728,TCP,"Consulting,Accounting",3303,445,180.0.210.88,JP,Japan,Tokyo-to,35.685,139.7514,1
10.42.0.211-64.71.142.96-53660-443-6,03-03-13 22:42,groucho-oregon,1017977401,TCP,"Financial,Credit Reporting",6000,1433,60.173.26.57,CN,China,Anhui Sheng,31.8639,117.2808,1
10.42.0.42-14.29.93.243-52857-80-6,03-03-13 22:45,groucho-oregon,2917802434,TCP,Military,6000,3306,173.234.33.194,US,United States,Illinois,41.8471,-87.6248,0
172.217.3.106-10.42.0.42-443-60131-6,03-03-13 22:45,groucho-oregon,2073368071,TCP,"Consulting,Accounting",6000,1433,123.149.22.7,CN,China,Henan Sheng,34.6836,113.5325,1
183.3.235.80-10.42.0.151-80-40065-6,03-03-13 22:47,groucho-tokyo,1412364802,TCP,"Financial,Credit Reporting",4042,445,84.46.250.2,LT,Lithuania,,56,24,0
172.217.3.106-10.42.0.211-443-60594-6,03-03-13 22:47,groucho-tokyo,1412364802,TCP,Financial,4042,445,84.46.250.2,LT,Lithuania,,56,24,0
10.42.0.211-23.203.49.224-36526-443-6,03-03-13 22:48,groucho-oregon,1989170793,TCP,Telecoms,6000,3306,118.144.86.105,CN,China,Beijing Shi,39.9289,116.3883,0
10.42.0.211-23.46.197.118-41352-443-6,03-03-13 22:48,groucho-singapore,1033070424,TCP,Political,6000,135,61.147.103.88,CN,China,Jiangsu Sheng,32.0617,118.7778,1
203.205.158.61-10.42.0.211-80-60014-6,03-03-13 22:53,groucho-oregon,1032051418,TCP,Hotel,6000,1433,61.131.218.218,CN,China,Jiangxi Sheng,28.55,115.9333,0
10.42.0.151-23.66.240.213-55027-80-6,03-03-13 22:54,groucho-singapore,3702892700,TCP,Retail,6000,1433,220.181.168.156,CN,China,Beijing Shi,39.9289,116.3883,1
172.217.12.174-10.42.0.211-443-35221-6,03-03-13 22:55,groucho-us-east,1729413584,TCP,Media,4853,445,103.20.193.208,HK,Hong Kong,,22.25,114.1667,0
216.58.219.228-10.42.0.211-443-54688-6,03-03-13 22:55,groucho-us-east,1729413584,TCP,"Web,Tech",4853,445,103.20.193.208,HK,Hong Kong,,22.25,114.1667,1
8.0.6.4-8.6.0.1-0-0-0,03-03-13 22:55,groucho-us-east,1729413584,TCP,Fashion,4853,445,103.20.193.208,HK,Hong Kong,,22.25,114.1667,0
172.217.10.35-10.42.0.211-80-39600-6,03-03-13 22:55,groucho-oregon,1017972899,TCP,Question & Answer,6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,1
10.42.0.151-10.42.0.1-4179-53-17,03-03-13 22:55,groucho-norcal,3323217250,TCP,Military,47660,80,198.20.69.98,US,United States,Illinois,41.8825,-87.6441,1
10.42.0.42-23.208.87.120-57700-80-6,03-03-13 22:56,groucho-tokyo,3658882522,TCP,"Consulting,Accounting",6000,1433,218.22.29.218,CN,China,Anhui Sheng,31.8639,117.2808,0
10.42.0.42-66.198.24.253-57711-443-6,03-03-13 22:56,groucho-oregon,2009021408,TCP,"Financial,Credit Reporting",6000,1433,119.191.59.224,CN,China,Shandong Sheng,36.6683,116.9972,1
10.42.0.211-52.84.37.172-40018-443-6,03-03-13 22:58,groucho-singapore,1033071474,TCP,Financial,6000,135,61.147.107.114,CN,China,Jiangsu Sheng,32.0617,118.7778,0
10.42.0.151-112.90.74.178-48648-80-6,03-03-13 23:01,groucho-tokyo,1199028690,UDP,Telecoms,57520,20029,71.119.185.210,US,United States,California,34.104,-117.6642,0
10.42.0.211-52.84.40.205-47600-443-6,03-03-13 23:01,groucho-tokyo,1199028690,UDP,Political,57520,20029,71.119.185.210,US,United States,California,34.104,-117.6642,1
10.42.0.151-23.194.140.73-46795-443-6,03-03-13 23:01,groucho-tokyo,1199028690,UDP,Hotel,57520,20029,71.119.185.210,US,United States,California,34.104,-117.6642,1
182.22.31.252-10.42.0.151-443-50779-6,03-03-13 23:01,groucho-tokyo,1199028690,UDP,Retail,57520,20029,71.119.185.210,US,United States,California,34.104,-117.6642,0
10.42.0.151-10.42.0.1-16886-53-17,03-03-13 23:01,groucho-tokyo,1199028690,UDP,Media,57520,20029,71.119.185.210,US,United States,California,34.104,-117.6642,1
172.217.12.170-10.42.0.211-443-41214-6,03-03-13 23:01,groucho-tokyo,1199028690,UDP,"Web,Tech",57520,20029,71.119.185.210,US,United States,California,34.104,-117.6642,0
10.42.0.211-64.71.142.124-55657-443-6,03-03-13 23:01,groucho-eu,2148114514,ICMP,Fashion,,,128.9.160.82,US,United States,California,33.9777,-118.4351,1
172.217.11.14-10.42.0.211-443-55117-6,03-03-13 23:01,groucho-eu,2148114514,ICMP,Question & Answer,,,128.9.160.82,US,United States,California,33.9777,-118.4351,0
10.42.0.42-58.220.11.230-52223-80-6,03-03-13 23:02,groucho-tokyo,1199028690,UDP,Military,57520,20029,71.119.185.210,US,United States,California,34.104,-117.6642,1
202.77.129.150-10.42.0.151-80-51631-6,03-03-13 23:02,groucho-tokyo,1199028690,UDP,"Consulting,Accounting",57520,20029,71.119.185.210,US,United States,California,34.104,-117.6642,0
175.100.207.231-10.42.0.211-80-55879-6,03-03-13 23:03,groucho-singapore,3688562967,TCP,"Financial,Credit Reporting",1419,9999,219.219.1.23,CN,China,Fujian,25.0167,116.7116,0
10.42.0.211-10.42.0.1-16906-53-17,03-03-13 23:05,groucho-singapore,3702892698,TCP,Financial,6000,1433,220.181.168.154,CN,China,Beijing Shi,39.9289,116.3883,0
10.42.0.1-10.42.0.42-53-16788-17,03-03-13 23:06,groucho-singapore,3688562967,TCP,Telecoms,4444,8082,219.219.1.23,CN,China,Fujian,25.0167,116.7116,0
10.42.0.211-114.134.80.163-57192-443-6,03-03-13 23:06,groucho-singapore,2057163105,TCP,Political,49941,23,122.157.209.97,CN,China,Heilongjiang Sheng,45.75,126.65,0
10.42.0.211-31.13.69.195-56545-443-6,03-03-13 23:08,groucho-singapore,782615554,ICMP,Hotel,,,46.165.196.2,DE,Germany,,51,9,1
10.42.0.42-111.206.25.159-46340-80-6,03-03-13 23:09,groucho-oregon,1822662381,UDP,Retail,5065,5060,108.163.158.237,US,United States,Washington,47.6062,-122.3321,1
172.217.12.163-10.42.0.211-443-44040-6,03-03-13 23:13,groucho-oregon,3630406730,TCP,Media,6000,1433,216.99.156.74,US,United States,California,34.0115,-117.8535,0
208.80.154.224-10.42.0.211-443-47231-6,03-03-13 23:15,groucho-singapore,1317115153,TCP,"Web,Tech",61905,80,78.129.149.17,GB,United Kingdom,,51.5,-0.13,0
10.42.0.211-121.12.98.62-41147-80-6,03-03-13 23:15,groucho-singapore,1317115153,TCP,Fashion,61905,80,78.129.149.17,GB,United Kingdom,,51.5,-0.13,0
10.42.0.211-123.125.46.161-49632-80-6,03-03-13 23:16,groucho-tokyo,1033806433,TCP,Question & Answer,6000,1433,61.158.162.97,CN,China,Henan Sheng,34.6836,113.5325,1
172.217.12.206-10.42.0.151-443-37160-6,03-03-13 23:18,groucho-oregon,3322768888,TCP,Military,6000,1433,198.13.109.248,US,United States,California,34.0115,-117.8535,1
157.240.18.36-10.42.0.42-443-56022-6,03-03-13 23:21,groucho-us-east,2001351024,TCP,"Consulting,Accounting",60039,445,119.74.49.112,SG,Singapore,,1.2931,103.8558,1
172.217.10.227-10.42.0.211-443-40737-6,03-03-13 23:21,groucho-us-east,2001351024,TCP,"Financial,Credit Reporting",60039,445,119.74.49.112,SG,Singapore,,1.2931,103.8558,1
10.42.0.211-119.146.74.33-50805-443-6,03-03-13 23:21,groucho-us-east,2001351024,TCP,Financial,60039,445,119.74.49.112,SG,Singapore,,1.2931,103.8558,1
216.58.219.227-10.42.0.151-443-38221-6,03-03-13 23:22,groucho-oregon,3639889826,TCP,Telecoms,6000,1433,216.244.79.162,US,United States,Washington,47.4891,-122.2908,0
10.42.0.211-10.42.0.1-55671-53-17,03-03-13 23:22,groucho-oregon,387937299,UDP,Political,5063,5060,23.31.116.19,US,United States,New Mexico,35.1404,-106.4877,1
172.217.11.14-10.42.0.151-443-54822-6,03-03-13 23:22,groucho-singapore,1538852419,TCP,Hotel,43799,22,91.185.6.67,KZ,Kazakhstan,,48,68,0
172.217.10.78-10.42.0.151-443-42200-6,03-03-13 23:23,groucho-singapore,1033070415,TCP,Retail,6000,1433,61.147.103.79,CN,China,Jiangsu Sheng,32.0617,118.7778,0
10.42.0.211-104.254.66.16-47478-80-6,03-03-13 23:24,groucho-tokyo,1033532565,TCP,Media,17679,3389,61.154.116.149,CN,China,Fujian,26.0614,119.3061,0
206.126.112.141-10.42.0.151-443-37248-6,03-03-13 23:26,zeppo-norcal,2917802434,TCP,"Web,Tech",6000,3306,173.234.33.194,US,United States,Illinois,41.8471,-87.6248,1
10.42.0.211-36.110.210.167-55476-80-6,03-03-13 23:25,groucho-norcal,2917802434,TCP,Fashion,6000,3306,173.234.33.194,US,United States,Illinois,41.8471,-87.6248,0
10.42.0.211-106.39.169.66-51882-80-6,03-03-13 23:26,groucho-us-east,2917802434,TCP,Question & Answer,6000,3306,173.234.33.194,US,United States,Illinois,41.8471,-87.6248,1
10.42.0.211-104.43.254.159-54229-443-6,03-03-13 23:28,groucho-oregon,3639889826,TCP,"Financial,Credit Reporting",1037,1433,216.244.79.162,US,United States,Washington,47.4891,-122.2908,0
172.217.10.106-10.42.0.42-443-49651-6,03-03-13 23:29,groucho-oregon,3223226456,TCP,Financial,6000,1433,192.30.136.88,US,United States,Nevada,36.7889,-114.1431,1
172.217.12.170-10.42.0.211-443-33885-6,03-03-13 23:29,groucho-tokyo,1169129130,UDP,Telecoms,50380,161,69.175.126.170,US,United States,Illinois,41.8876,-87.6368,0
10.42.0.211-23.203.49.224-39841-443-6,03-03-13 23:30,groucho-oregon,1033070524,TCP,Political,6000,1433,61.147.103.188,CN,China,Jiangsu Sheng,32.0617,118.7778,1
10.42.0.211-23.206.166.62-42575-80-6,03-03-13 23:30,groucho-singapore,621360428,TCP,Hotel,45855,5900,37.9.53.44,RU,Russia,St.-Petersburg,59.8944,30.2642,1
10.42.0.151-10.42.0.1-3790-53-17,03-03-13 23:31,groucho-oregon,3351289838,TCP,Retail,6000,1433,199.192.159.238,US,United States,California,37.567,-121.9829,0
10.42.0.151-76.13.28.70-33298-443-6,03-03-13 23:32,groucho-oregon,1017977401,TCP,Media,6000,1433,60.173.26.57,CN,China,Anhui Sheng,31.8639,117.2808,1
10.42.0.42-104.97.95.172-57436-80-6,03-03-13 23:34,groucho-sa,1017972899,TCP,"Web,Tech",6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,0
172.217.10.142-10.42.0.42-443-60830-6,03-03-13 23:34,groucho-us-east,998103092,TCP,Fashion,3351,139,59.125.216.52,TW,Taiwan,,23.5,121,0
10.42.0.211-54.192.38.154-53341-443-6,03-03-13 23:34,groucho-us-east,998103092,TCP,Question & Answer,3351,139,59.125.216.52,TW,Taiwan,,23.5,121,1
10.42.0.211-64.71.142.95-42886-443-6,03-03-13 23:34,groucho-us-east,998103092,TCP,Military,3351,139,59.125.216.52,TW,Taiwan,,23.5,121,1
172.217.6.234-10.42.0.151-443-49966-6,03-03-13 23:33,groucho-norcal,1017972899,TCP,"Consulting,Accounting",6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,0
140.205.172.65-10.42.0.211-443-57261-6,03-03-13 23:34,zeppo-norcal,1017972899,TCP,"Financial,Credit Reporting",6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,1
10.42.0.42-123.125.115.164-53676-443-6,03-03-13 23:34,groucho-us-east,1017972899,TCP,Financial,6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,0
202.77.129.185-10.42.0.211-80-45813-6,03-03-13 23:34,groucho-eu,1017972899,TCP,Telecoms,6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,1
203.130.53.126-10.42.0.211-80-38980-6,03-03-13 23:35,groucho-sydney,1017972899,TCP,Political,6000,8080,60.173.8.163,CN,China,Anhui Sheng,31.8639,117.2808,0
172.217.9.227-10.42.0.211-80-45047-6,03-03-13 23:36,groucho-singapore,1823193186,TCP,Hotel,43783,80,108.171.184.98,US,United States,Texas,29.4889,-98.3987,1
172.217.12.196-10.42.0.211-443-49324-6,03-03-13 23:36,groucho-singapore,1823193186,TCP,Retail,44003,8080,108.171.184.98,US,United States,Texas,29.4889,-98.3987,0
10.42.0.211-10.42.0.1-64029-53-17,03-03-13 23:36,groucho-singapore,1945020782,TCP,Media,25476,8080,115.238.169.110,CN,China,Zhejiang Sheng,30.2936,120.1614,0
172.217.11.46-10.42.0.151-443-58290-6,03-03-13 23:36,groucho-us-east,998103092,TCP,"Web,Tech",2363,445,59.125.216.52,TW,Taiwan,,23.5,121,0
10.42.0.151-66.102.255.61-38991-80-6,03-03-13 23:36,groucho-us-east,998103092,TCP,Fashion,2363,445,59.125.216.52,TW,Taiwan,,23.5,121,0
10.42.0.151-31.13.71.7-59286-443-6,03-03-13 23:36,groucho-us-east,998103092,TCP,Question & Answer,2363,445,59.125.216.52,TW,Taiwan,,23.5,121,0
10.42.0.211-58.63.236.212-42038-443-6,03-03-13 23:37,groucho-singapore,1032743458,TCP,Military,36419,22,61.142.106.34,CN,China,Guangdong,23.1167,113.25,1
10.42.0.1-10.42.0.42-53-2400-17,03-03-13 23:38,groucho-oregon,1965603898,TCP,"Consulting,Accounting",53644,1433,117.40.188.58,CN,China,Jiangxi Sheng,28.55,115.9333,1
10.42.0.42-42.236.125.112-33516-80-6,03-03-13 23:38,groucho-eu,3754919458,UDP,"Financial,Credit Reporting",53392,49804,223.207.134.34,TH,Thailand,,15,100,0
10.42.0.42-64.71.142.96-41141-443-6,03-03-13 23:38,groucho-oregon,2095712422,TCP,Financial,6000,1433,124.234.8.166,CN,China,Jilin Sheng,43.88,125.3228,0
10.42.0.1-10.42.0.42-53-19260-17,03-03-13 23:41,groucho-tokyo,2943260025,TCP,Telecoms,4125,23,175.110.149.121,PK,Pakistan,,30,70,0
222.73.28.96-10.42.0.211-80-58375-6,03-03-13 23:42,groucho-oregon,1823211283,TCP,Political,6000,1433,108.171.255.19,US,United States,California,34.0115,-117.8535,1
205.204.101.182-10.42.0.211-443-49143-6,03-03-13 23:43,groucho-tokyo,1965603898,TCP,Hotel,40155,1433,117.40.188.58,CN,China,Jiangxi Sheng,28.55,115.9333,1
10.42.0.151-10.42.0.1-16011-53-17,03-03-13 23:48,groucho-tokyo,710973289,TCP,Retail,6000,1433,42.96.151.105,CN,China,Beijing Shi,39.9289,116.3883,1
219.142.78.162-10.42.0.151-80-54618-6,03-03-13 23:50,groucho-oregon,1580555714,TCP,"Financial,Credit Reporting",3766,445,94.53.93.194,RO,Romania,Giurgiu,43.8833,25.9667,1
10.42.0.211-10.42.0.1-58071-53-17,03-03-13 23:51,groucho-singapore,2099893546,TCP,Financial,8888,1433,125.41.213.42,CN,China,Henan Sheng,34.6836,113.5325,1
10.42.0.151-10.42.0.1-6793-53-17,03-03-13 23:51,groucho-singapore,3688562967,TCP,Telecoms,2285,90,219.219.1.23,CN,China,Fujian,25.0167,116.7116,0
172.217.3.110-10.42.0.151-443-56652-6,03-03-13 23:52,groucho-oregon,1032051418,TCP,Political,6000,1433,61.131.218.218,CN,China,Jiangxi Sheng,28.55,115.9333,1
10.42.0.42-123.125.29.220-49199-80-6,03-03-13 23:53,groucho-oregon,3235001182,TCP,Hotel,6000,1433,192.210.51.94,US,United States,California,34.0115,-117.8535,0
10.42.0.211-23.203.49.224-42376-443-6,03-03-13 23:53,zeppo-norcal,621360386,TCP,Retail,46793,5900,37.9.53.2,RU,Russia,St.-Petersburg,59.8944,30.2642,0
10.42.0.151-98.139.199.205-36368-443-6,03-03-13 23:55,groucho-singapore,18512187,TCP,Media,6000,8080,1.26.121.59,CN,China,Inner Mongolia,40.6522,109.8222,0
220.243.219.55-10.42.0.42-80-59608-6,03-03-13 23:56,groucho-singapore,3688562967,TCP,"Web,Tech",1090,9090,219.219.1.23,CN,China,Fujian,25.0167,116.7116,1
220.243.219.55-10.42.0.211-80-55151-6,03-03-13 23:57,groucho-tokyo,1169129130,TCP,Fashion,35799,80,69.175.126.170,US,United States,Illinois,41.8876,-87.6368,0
10.42.0.211-64.71.142.125-58549-443-6,03-03-13 23:57,groucho-tokyo,1169129130,TCP,Question & Answer,35800,80,69.175.126.170,US,United States,Illinois,41.8876,-87.6368,1
209.85.201.188-10.42.0.151-5228-53409-6,03-04-13 0:06,groucho-eu,1427270909,TCP,Military,9800,445,85.18.108.253,IT,Italy,Milan,45.5833,9.1167,0
180.76.147.97-10.42.0.211-80-60005-6,03-04-13 0:06,groucho-eu,1427270909,TCP,"Consulting,Accounting",9800,445,85.18.108.253,IT,Italy,Milan,45.5833,9.1167,1
8.0.6.4-8.6.0.1-0-0-0,03-04-13 0:07,groucho-oregon,844201703,TCP,"Financial,Credit Reporting",3153,135,50.81.126.231,US,United States,Illinois,41.487,-90.4773,0
10.42.0.42-40.127.169.165-59453-443-6,03-04-13 0:07,groucho-oregon,844201703,TCP,Financial,3153,135,50.81.126.231,US,United States,Illinois,41.487,-90.4773,1
10.42.0.151-114.134.80.163-35156-443-6,03-04-13 0:13,groucho-singapore,3740323306,TCP,Telecoms,56927,1433,222.240.205.234,CN,China,Hunan,28.1792,113.1136,1
10.42.0.151-103.7.30.118-56203-80-6,03-04-13 0:18,groucho-singapore,3322765372,TCP,Political,6000,1433,198.13.96.60,US,United States,California,34.0115,-117.8535,0
206.126.112.141-10.42.0.42-443-40754-6,03-04-13 0:20,groucho-sa,1627302658,TCP,Hotel,38051,1080,96.254.171.2,US,United States,Florida,28.3031,-82.7048,1
10.42.0.151-10.42.0.1-13923-53-17,03-04-13 0:20,groucho-sa,1627302658,TCP,Retail,38051,1080,96.254.171.2,US,United States,Florida,28.3031,-82.7048,0
8.0.6.4-8.6.0.1-0-0-0,03-04-13 0:20,groucho-tokyo,3322765372,TCP,Media,6000,1433,198.13.96.60,US,United States,California,34.0115,-117.8535,0
203.205.151.213-10.42.0.151-8080-38720-6,03-04-13 0:20,groucho-norcal,1054577697,TCP,"Web,Tech",3770,139,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,1
180.149.134.221-10.42.0.211-80-45965-6,03-04-13 0:21,zeppo-norcal,1054577697,TCP,Fashion,3775,139,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,1
10.42.0.1-10.42.0.42-53-59051-17,03-04-13 0:20,groucho-norcal,1054577697,TCP,Question & Answer,3770,139,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,0
10.42.0.1-10.42.0.42-53-63423-17,03-04-13 0:21,zeppo-norcal,1054577697,TCP,Military,3775,139,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,1
180.149.153.234-10.42.0.151-80-44857-6,03-04-13 0:21,groucho-tokyo,1949336883,TCP,"Consulting,Accounting",3061,445,116.48.133.51,HK,Hong Kong,,22.2833,114.15,0
10.42.0.211-10.42.0.1-40858-53-17,03-04-13 0:20,groucho-norcal,1054577697,TCP,"Financial,Credit Reporting",3770,139,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,1
10.42.0.211-10.42.0.1-51704-53-17,03-04-13 0:21,zeppo-norcal,1054577697,TCP,Financial,3775,139,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,0
239.255.255.250-10.42.0.42-1900-57206-17,03-04-13 0:22,groucho-norcal,1054577697,TCP,Telecoms,2843,445,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,1
172.217.3.35-10.42.0.42-443-47404-6,03-04-13 0:23,zeppo-norcal,1054577697,TCP,Political,2849,445,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,0
10.42.0.1-10.42.0.42-53-4524-17,03-04-13 0:22,groucho-norcal,1054577697,TCP,Hotel,2843,445,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,0
182.22.25.252-10.42.0.211-443-57335-6,03-04-13 0:23,zeppo-norcal,1054577697,TCP,Retail,2849,445,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,0
144.2.1.1-10.42.0.211-80-55371-6,03-04-13 0:23,groucho-norcal,1054577697,TCP,"Financial,Credit Reporting",2843,445,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,0
180.76.150.180-10.42.0.211-80-39052-6,03-04-13 0:23,zeppo-norcal,1054577697,TCP,Financial,2849,445,62.219.148.33,IL,Israel,Tel Aviv,32.0667,34.7667,0
157.240.2.20-10.42.0.211-443-56466-6,03-04-13 0:26,groucho-oregon,1126213611,TCP,Telecoms,2421,445,67.32.167.235,US,United States,Kentucky,38.2582,-85.4526,1
172.217.6.234-10.42.0.211-443-55425-6,03-04-13 0:26,groucho-singapore,1019194044,TCP,Political,6000,135,60.191.170.188,CN,China,Jiangsu Sheng,32.4907,119.9081,1
10.42.0.211-10.42.0.1-59543-53-17,03-04-13 0:28,groucho-sa,1538852419,TCP,Hotel,13204,22,91.185.6.67,KZ,Kazakhstan,,48,68,0
203.205.151.212-10.42.0.151-80-47360-6,03-04-13 0:28,groucho-oregon,1995742035,TCP,Retail,6000,3306,118.244.155.83,CN,China,Beijing Shi,39.9289,116.3883,0
172.217.3.99-10.42.0.151-443-59517-6,03-04-13 0:27,groucho-norcal,1538852419,TCP,Media,13204,22,91.185.6.67,KZ,Kazakhstan,,48,68,0
10.42.0.151-23.208.147.183-48883-443-6,03-04-13 0:28,zeppo-norcal,1538852419,TCP,"Web,Tech",13204,22,91.185.6.67,KZ,Kazakhstan,,48,68,1
10.42.0.211-119.6.229.36-42096-80-6,03-04-13 0:28,groucho-us-east,1538852419,TCP,Fashion,13204,22,91.185.6.67,KZ,Kazakhstan,,48,68,1
239.255.255.250-10.42.0.151-1900-58127-17,03-04-13 0:28,groucho-eu,1538852419,TCP,Question & Answer,13204,22,91.185.6.67,KZ,Kazakhstan,,48,68,1
10.42.0.211-77.234.42.92-57427-443-6,03-04-13 0:28,groucho-sydney,1538852419,TCP,Military,13204,22,91.185.6.67,KZ,Kazakhstan,,48,68,1
175.100.207.232-10.42.0.211-80-46722-6,03-04-13 0:29,groucho-oregon,249236627,ICMP,"Consulting,Accounting",,,14.219.12.147,CN,China,Guangdong,23.1167,113.25,1
10.42.0.211-115.239.210.141-58262-443-6,03-04-13 0:29,groucho-oregon,249236627,ICMP,"Financial,Credit Reporting",,,14.219.12.147,CN,China,Guangdong,23.1167,113.25,0
